	City	iso_code	Timezone
521	Ouargla	DZ	1
522	Zarzaitine	DZ	1
523	Batna	DZ	1
524	Béchar	DZ	1
525	Bordj Badji Mokhtar	DZ	1
526	Guemar	DZ	1
527	Setif	DZ	1
528	Djelfa	DZ	1
529	Cotonou	BJ	1
530	Ouagadougou	BF	0
531	Bobo-dioulasso	BF	0
532	Accra	GH	0
533	Tamale	GH	0
534	Wa	GH	0
535	Sunyani	GH	0
536	Takoradi	GH	0
537	Kumasi	GH	0
538	Abidjan	IV	0
539	Bouake	IV	0
540	Daloa	IV	0
541	Korhogo	IV	0
542	Man	IV	0
543	San Pedro	IV	0
544	Yamoussoukro	IV	0
545	Abuja	NG	1
546	Akure	NG	1
547	Benin	NG	1
548	Calabar	NG	1
549	Enugu	NG	1
550	Gusau	NG	1
551	Ibadan	NG	1
552	Ilorin	NG	1
553	Jos	NG	1
554	Kaduna	NG	1
555	Kano	NG	1
556	Maiduguri	NG	1
557	Makurdi	NG	1
558	Lagos	NG	1
559	Minna	NG	1
560	Port Hartcourt	NG	1
561	Sokoto	NG	1
562	Yola	NG	1
563	Zaria	NG	1
564	Imo	NG	1
565	Asaba	NG	1
566	Uyo	NG	1
567	Maradi	NE	1
568	Niamey	NE	1
569	Tahoua	NE	1
570	Agadez	NE	1
571	Dirkou	NE	1
572	Diffa	NE	1
573	Zinder	NE	1
574	Monastir	TN	1
575	Tunis	TN	1
576	Bizerte	TN	1
577	Remada	TN	1
578	Gafsa	TN	1
579	Gabes	TN	1
580	Bordj El Amri	TN	1
581	Djerba	TN	1
582	El Borma	TN	1
583	Sfax	TN	1
584	Tozeur	TN	1
585	Tabarka	TN	1
586	Niatougou	TG	0
587	Lome	TG	0
588	Antwerp	BE	1
589	Beauvechain	BE	1
590	Kleine Brogel	BE	1
591	Brussels	BE	1
592	Bertrix	BE	1
593	Charleroi	BE	1
594	Chievres	BE	1
595	Koksijde	BE	1
596	Florennes	BE	1
597	Kortrijk-vevelgem	BE	1
598	Liege	BE	1
599	Ostend	BE	1
600	Zutendaal	BE	1
601	Sint-truiden	BE	1
602	St.-hubert	BE	1
603	Ursel	BE	1
604	Weelde	BE	1
605	Zoersel	BE	1
606	Knokke	BE	1
607	GOETSENHOVEN	BE	1
608	Spa	BE	1
609	Namur	BE	1
610	Hasselt	BE	1
611	Leopoldsburg	BE	1
612	Bautzen	DE	1
613	Altenburg	DE	1
614	Dessau	DE	1
615	Eisenhuettenstadt	DE	1
616	Suhl	DE	1
617	Muehlhausen	DE	1
618	Halle	DE	1
619	Riesa	DE	1
620	Rechlin-laerz	DE	1
621	Strausberg	DE	1
622	Schoenhagen	DE	1
623	Barth	DE	1
624	Jena	DE	1
625	Kyritz	DE	1
626	Magdeburg	DE	1
627	Rothenburg/ol	DE	1
628	Anklam	DE	1
629	Cottbus	DE	1
630	Kamenz	DE	1
631	Berlin	DE	1
632	Dresden	DE	1
633	Erfurt	DE	1
634	Frankfurt	DE	1
635	Munster	DE	1
636	Hamburg	DE	1
638	Cologne	DE	1
639	Duesseldorf	DE	1
640	Munich	DE	1
641	Nuernberg	DE	1
642	Leipzig	DE	1
643	Saarbruecken	DE	1
644	Stuttgart	DE	1
646	Hannover	DE	1
647	Bremen	DE	1
648	Egelsbach	DE	1
649	Hahn	DE	1
